population,edge_ids,@source_node,@target_node,efferent_section_id,efferent_surface_z,afferent_center_y,efferent_center_z,efferent_segment_id,afferent_surface_z,afferent_segment_id,afferent_center_z,efferent_surface_x,efferent_section_type,efferent_segment_offset,afferent_center_x,afferent_section_type,afferent_section_id,afferent_section_pos,afferent_surface_y,afferent_segment_offset,efferent_surface_y,afferent_surface_x,efferent_center_y,efferent_section_pos,efferent_center_x
V1_neurons__V1_neurons__chemical_synapse,35679165,19473,16297,108,8419.248,936.92566,8419.241,0,8420.009,9,8420.078,9122.192,2,0.34642625,9120.271,3,160,0.29495564,936.93427,0.6918115,937.11896,9120.443,937.0699,0.06583139,9122.282
V1_neurons__V1_neurons__chemical_synapse,35679166,19473,16297,146,8420.649,937.73584,8420.706,3,8419.855,10,8419.788,9121.739,2,1.4574125,9119.89,3,160,0.32340384,937.83563,0.6638955,939.14276,9120.03,939.19507,0.8611095,9121.807
V1_neurons__V1_neurons__chemical_synapse,35679167,19473,16297,147,8421.875,937.8995,8421.945,0,8419.896,10,8419.741,9120.589,2,0.98507124,9119.797,3,160,0.32920682,937.9799,0.85812026,939.08075,9119.859,939.12427,0.0009962141,9120.649
V1_neurons__V1_neurons__chemical_synapse,35679168,19473,16297,147,8428.448,943.63116,8428.372,10,8429.821,10,8429.943,9109.093,2,1.0340126,9110.208,3,158,0.60887146,943.61865,0.3365231,943.4548,9110.113,943.4479,0.015201743,9109.024
V1_neurons__V1_neurons__chemical_synapse,35679169,19473,16297,148,8421.689,939.1146,8421.786,1,8419.888,12,8419.705,9119.664,2,0.27517325,9119.414,3,160,0.36757964,939.12195,0.6799613,939.26996,9119.441,939.27094,0.006072079,9119.698
V1_neurons__V1_neurons__chemical_synapse,35679170,19473,16297,149,8413.737,934.7902,8413.676,4,8414.519,13,8414.603,9124.049,2,0.5531564,9122.804,3,161,0.27292326,934.85345,0.0,935.44415,9122.918,935.4605,0.102336556,9124.129
V1_neurons__V1_neurons__chemical_synapse,35679171,19473,16297,149,8413.206,933.6982,8413.107,6,8415.345,11,8415.478,9124.146,2,0.37875488,9123.5,3,161,0.2364883,933.62866,0.19860794,932.5093,9123.54,932.51337,0.15276696,9124.174
V1_neurons__V1_neurons__chemical_synapse,35679172,19473,16297,149,8416.563,925.26324,8416.526,13,8415.58,5,8415.485,9124.076,2,1.3506879,9124.909,3,149,0.28561518,925.0884,0.14175661,923.3753,9124.827,923.3544,0.3207668,9123.983
V1_neurons__V1_neurons__chemical_synapse,35679173,19473,16297,150,8516.973,825.06366,8516.966,27,8517.442,86,8517.504,9161.877,2,0.1073034,9162.948,4,231,0.7827952,824.96234,0.8217845,824.23627,9162.82,824.0623,0.7612722,9161.77
V1_neurons__V1_neurons__chemical_synapse,35679174,19473,16297,150,8521.689,821.92395,8521.556,28,8522.188,93,8522.249,9165.427,2,3.1457796,9163.733,4,231,0.8405735,821.8962,0.6113224,821.5929,9163.893,821.5867,0.8055601,9165.581
V1_neurons__V1_neurons__chemical_synapse,35679175,19473,16297,152,8419.802,936.6382,8419.718,0,8420.184,9,8420.224,9122.532,2,0.5393895,9120.345,3,160,0.28508005,936.6633,0.36127934,936.95996,9120.524,936.953,0.17912069,9122.59
V1_neurons__V1_neurons__chemical_synapse,35679176,19473,16297,153,8416.808,932.0716,8416.787,9,8416.974,8,8416.998,9125.307,2,0.78736967,9124.741,3,161,0.17655064,932.18195,0.4390206,932.82745,9124.848,932.84454,0.030046485,9125.405
V1_neurons__V1_neurons__chemical_synapse,35679177,19473,16297,153,8417.95,926.9676,8417.876,13,8419.042,7,8419.236,9126.703,2,2.7699428,9127.821,3,162,0.12843642,926.8941,0.39709476,926.50934,9127.635,926.4831,0.05764194,9126.639
V1_neurons__V1_neurons__chemical_synapse,35679178,19473,16297,158,8439.501,940.2985,8439.527,19,8438.884,17,8438.827,9142.614,2,0.19109279,9143.44,3,192,0.5074434,940.08673,0.300549,938.0801,9143.363,937.9879,0.13038674,9142.579
V1_neurons__V1_neurons__chemical_synapse,35679179,19473,16297,172,8383.528,964.0611,8383.5625,28,8383.1,45,8383.002,9112.919,2,0.8812016,9113.316,3,134,0.9757163,964.1796,0.93482995,964.6976,9113.225,964.7125,0.9258997,9112.825
V1_neurons__V1_neurons__chemical_synapse,35679180,19473,16297,173,8382.449,964.3238,8382.447,0,8382.44,46,8382.435,9111.736,2,0.4783263,9112.463,3,134,0.99779856,964.15466,0.8985142,962.76996,9112.404,962.714,0.044509437,9111.821
V1_neurons__V1_neurons__chemical_synapse,35679181,19473,16297,180,8382.293,964.32587,8382.279,0,8382.414,46,8382.431,9112.105,2,0.16506156,9112.457,3,134,0.9979616,964.1537,0.9063959,963.2359,9112.411,963.1401,0.0021237936,9112.074
V1_neurons__V1_neurons__chemical_synapse,35679182,19473,16297,188,8404.333,963.7003,8404.235,10,8404.958,42,8405.129,9103.795,2,0.57236165,9103.91,3,138,0.78335166,963.6365,1.0219157,963.46356,9103.8955,963.4364,0.16316812,9103.783
V1_neurons__V1_neurons__chemical_synapse,35679183,19473,16297,192,8407.199,957.21075,8407.256,5,8406.945,32,8406.914,9112.336,2,0.042992402,9111.313,3,138,0.5926308,957.3614,1.059292,958.6545,9111.417,958.7031,0.04451816,9112.405
V1_neurons__V1_neurons__chemical_synapse,35679184,19473,16297,192,8419.064,946.3541,8419.0625,16,8419.019,20,8419.014,9116.599,2,0.2568768,9117.912,3,160,0.59991646,946.26556,0.68008053,945.6066,9117.752,945.56085,0.20596746,9116.508
V1_neurons__V1_neurons__chemical_synapse,35679185,19473,16297,192,8428.061,936.8643,8428.08,24,8427.709,1,8427.677,9119.812,2,0.85335386,9118.292,3,154,0.7585326,936.95917,0.53737754,937.97485,9118.43,938.0343,0.31392977,9119.892
